Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",187.964800,-170.070600,90.000000,top
"C1","100nF","C_0805_2012Metric",42.244800,-209.995400,-90.000000,top
"C1","100nF","C_0805_2012Metric",129.561600,-170.070600,90.000000,top
"C1","100nF","C_0805_2012Metric",188.252800,-140.182200,-90.000000,top
"C1","100nF","C_0805_2012Metric",100.360000,-100.257400,90.000000,top
"C1","100nF","C_0805_2012Metric",159.051200,-209.995400,-90.000000,top
"C1","100nF","C_0805_2012Metric",158.763200,-100.257400,90.000000,top
"C1","100nF","C_0805_2012Metric",71.446400,-140.182200,-90.000000,top
"C1","100nF","C_0805_2012Metric",217.166400,-100.257400,90.000000,top
"C2","10uF","C_0805_2012Metric",103.748000,-75.119000,-90.000000,top
"C2","10uF","C_0805_2012Metric",45.344800,-214.745400,-90.000000,top
"C2","10uF","C_0805_2012Metric",184.864800,-25.694200,90.000000,top
"C2","10uF","C_0805_2012Metric",132.949600,-144.932200,-90.000000,top
"C2","10uF","C_0805_2012Metric",68.058400,-165.320600,90.000000,top
"C2","10uF","C_0805_2012Metric",220.554400,-214.745400,-90.000000,top
"C2","10uF","C_0805_2012Metric",126.461600,-165.320600,90.000000,top
"C2","10uF","C_0805_2012Metric",162.151200,-75.119000,-90.000000,top
"C2","10uF","C_0805_2012Metric",97.260000,-95.507400,90.000000,top
"C2","10uF","C_0805_2012Metric",45.344800,-75.119000,-90.000000,top
"C2","10uF","C_0805_2012Metric",191.352800,-144.932200,-90.000000,top
"C2","10uF","C_0805_2012Metric",162.151200,-214.745400,-90.000000,top
"C2","10uF","C_0805_2012Metric",68.058400,-25.694200,90.000000,top
"C2","10uF","C_0805_2012Metric",74.546400,-144.932200,-90.000000,top
"C2","10uF","C_0805_2012Metric",103.748000,-214.745400,-90.000000,top
"C2","10uF","C_0805_2012Metric",126.461600,-25.694200,90.000000,top
"C2","10uF","C_0805_2012Metric",38.856800,-95.507400,90.000000,top
"C2","10uF","C_0805_2012Metric",155.663200,-95.507400,90.000000,top
"C2","10uF","C_0805_2012Metric",184.864800,-165.320600,90.000000,top
"C2","10uF","C_0805_2012Metric",214.066400,-95.507400,90.000000,top
"C2","10uF","C_0805_2012Metric",220.554400,-75.119000,-90.000000,top
"C3","10uF","C_0805_2012Metric",97.498000,-214.745400,-90.000000,top
"C3","10uF","C_0805_2012Metric",132.711600,-165.320600,90.000000,top
"C3","10uF","C_0805_2012Metric",191.114800,-25.694200,90.000000,top
"C3","10uF","C_0805_2012Metric",103.510000,-95.507400,90.000000,top
"C3","10uF","C_0805_2012Metric",155.901200,-214.745400,-90.000000,top
"C3","10uF","C_0805_2012Metric",214.304400,-75.119000,-90.000000,top
"C3","10uF","C_0805_2012Metric",185.102800,-144.932200,-90.000000,top
"C3","10uF","C_0805_2012Metric",220.316400,-95.507400,90.000000,top
"C3","10uF","C_0805_2012Metric",39.094800,-75.119000,-90.000000,top
"C3","10uF","C_0805_2012Metric",45.106800,-95.507400,90.000000,top
"C3","10uF","C_0805_2012Metric",126.699600,-144.932200,-90.000000,top
"C3","10uF","C_0805_2012Metric",74.308400,-165.320600,90.000000,top
"C3","10uF","C_0805_2012Metric",39.094800,-214.745400,-90.000000,top
"C3","10uF","C_0805_2012Metric",68.296400,-144.932200,-90.000000,top
"C3","10uF","C_0805_2012Metric",74.308400,-25.694200,90.000000,top
"C3","10uF","C_0805_2012Metric",155.901200,-75.119000,-90.000000,top
"C3","10uF","C_0805_2012Metric",191.114800,-165.320600,90.000000,top
"C3","10uF","C_0805_2012Metric",161.913200,-95.507400,90.000000,top
"C3","10uF","C_0805_2012Metric",97.498000,-75.119000,-90.000000,top
"C3","10uF","C_0805_2012Metric",132.711600,-25.694200,90.000000,top
"C3","10uF","C_0805_2012Metric",214.304400,-214.745400,-90.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",100.560000,-140.057400,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",129.761600,-209.870600,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",158.963200,-140.057400,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",188.052800,-100.382200,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",42.044800,-170.195400,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",100.448000,-170.195400,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",71.358400,-70.244200,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",71.246400,-100.382200,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",129.761600,-70.244200,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",100.448000,-30.569000,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",188.164800,-209.870600,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",217.366400,-140.057400,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",158.851200,-170.195400,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",158.851200,-30.569000,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",217.254400,-30.569000,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",71.358400,-209.870600,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",42.044800,-30.569000,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",42.156800,-140.057400,0.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",129.649600,-100.382200,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",217.254400,-170.195400,180.000000,top
"D1","LED_ARGB","LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",188.164800,-70.244200,0.000000,top
"D2","LED","LED_0805_2012Metric",134.011600,-66.994200,180.000000,top
"D2","LED","LED_0805_2012Metric",183.802800,-103.632200,0.000000,top
"D2","LED","LED_0805_2012Metric",75.608400,-206.620600,180.000000,top
"D2","LED","LED_0805_2012Metric",192.414800,-66.994200,180.000000,top
"D2","LED","LED_0805_2012Metric",213.004400,-173.445400,0.000000,top
"D2","LED","LED_0805_2012Metric",104.810000,-136.807400,180.000000,top
"D2","LED","LED_0805_2012Metric",125.399600,-103.632200,0.000000,top
"D2","LED","LED_0805_2012Metric",96.198000,-33.819000,0.000000,top
"D2","LED","LED_0805_2012Metric",213.004400,-33.819000,0.000000,top
"D2","LED","LED_0805_2012Metric",134.011600,-206.620600,180.000000,top
"D2","LED","LED_0805_2012Metric",37.794800,-33.819000,0.000000,top
"D2","LED","LED_0805_2012Metric",221.616400,-136.807400,180.000000,top
"D2","LED","LED_0805_2012Metric",192.414800,-206.620600,180.000000,top
"D2","LED","LED_0805_2012Metric",37.794800,-173.445400,0.000000,top
"D2","LED","LED_0805_2012Metric",163.213200,-136.807400,180.000000,top
"D2","LED","LED_0805_2012Metric",96.198000,-173.445400,0.000000,top
"D2","LED","LED_0805_2012Metric",46.406800,-136.807400,180.000000,top
"D2","LED","LED_0805_2012Metric",154.601200,-173.445400,0.000000,top
"D2","LED","LED_0805_2012Metric",75.608400,-66.994200,180.000000,top
"D2","LED","LED_0805_2012Metric",154.601200,-33.819000,0.000000,top
"D2","LED","LED_0805_2012Metric",66.996400,-103.632200,0.000000,top
"D3","LED","LED_0805_2012Metric",221.691900,-173.445400,180.000000,top
"D3","LED","LED_0805_2012Metric",163.288700,-33.819000,180.000000,top
"D3","LED","LED_0805_2012Metric",75.683900,-103.632200,180.000000,top
"D3","LED","LED_0805_2012Metric",212.928900,-136.807400,0.000000,top
"D3","LED","LED_0805_2012Metric",46.482300,-33.819000,180.000000,top
"D3","LED","LED_0805_2012Metric",37.719300,-136.807400,0.000000,top
"D3","LED","LED_0805_2012Metric",96.122500,-136.807400,0.000000,top
"D3","LED","LED_0805_2012Metric",221.691900,-33.819000,180.000000,top
"D3","LED","LED_0805_2012Metric",104.885500,-173.445400,180.000000,top
"D3","LED","LED_0805_2012Metric",125.324100,-66.994200,0.000000,top
"D3","LED","LED_0805_2012Metric",163.288700,-173.445400,180.000000,top
"D3","LED","LED_0805_2012Metric",46.482300,-173.445400,180.000000,top
"D3","LED","LED_0805_2012Metric",66.920900,-206.620600,0.000000,top
"D3","LED","LED_0805_2012Metric",183.727300,-66.994200,0.000000,top
"D3","LED","LED_0805_2012Metric",104.885500,-33.819000,180.000000,top
"D3","LED","LED_0805_2012Metric",192.490300,-103.632200,180.000000,top
"D3","LED","LED_0805_2012Metric",66.920900,-66.994200,0.000000,top
"D3","LED","LED_0805_2012Metric",154.525700,-136.807400,0.000000,top
"D3","LED","LED_0805_2012Metric",183.727300,-206.620600,0.000000,top
"D3","LED","LED_0805_2012Metric",125.324100,-206.620600,0.000000,top
"D3","LED","LED_0805_2012Metric",134.087100,-103.632200,180.000000,top
"D4","LED","LED_0805_2012Metric",114.837100,-138.632200,0.000000,top
"D4","LED","LED_0805_2012Metric",232.178900,-101.807400,180.000000,top
"D4","LED","LED_0805_2012Metric",115.372500,-101.807400,180.000000,top
"D4","LED","LED_0805_2012Metric",202.441900,-208.445400,0.000000,top
"D4","LED","LED_0805_2012Metric",173.775700,-101.807400,180.000000,top
"D4","LED","LED_0805_2012Metric",202.441900,-68.819000,0.000000,top
"D4","LED","LED_0805_2012Metric",27.232300,-208.445400,0.000000,top
"D4","LED","LED_0805_2012Metric",144.574100,-171.620600,180.000000,top
"D4","LED","LED_0805_2012Metric",56.433900,-138.632200,0.000000,top
"D4","LED","LED_0805_2012Metric",202.977300,-171.620600,180.000000,top
"D4","LED","LED_0805_2012Metric",86.170900,-171.620600,180.000000,top
"D4","LED","LED_0805_2012Metric",144.574100,-31.994200,180.000000,top
